Motorcycle,Color,Year,Mileage,Price,MotorcycleStrip
SCOOPY-I,blue,2564.0,2592.655274888559,44900.0,SCOOPY-I
PCX160,red,2564.0,6263.0,93500.0,PCX160
PCX150,red,2563.0,8599.0,86900.0,PCX150
GT125,white,2559.0,2592.655274888559,28900.0,GT125
AEROX155,black,2564.0,2592.655274888559,49900.0,AEROX155
AEROX155,blue,2563.0,2592.655274888559,49900.0,AEROX155
CLICK125I,blue,2560.0,2592.655274888559,29900.0,CLICK125I
GRAND FILANO,white,2563.0,2592.655274888559,54900.0,GRAND FILANO HYBRID ABS
GRAND FILANO,black,2564.0,9261.0,48000.0,GRAND FILANO HYBRID
CLICK110I,black,2554.0,2592.655274888559,16500.0,CLICK110I
CLICK125I,black,2555.0,2592.655274888559,23000.0,CLICK125I
CLICK125I,black,2556.0,2592.655274888559,22000.0,CLICK125I
CLICK110I,white,2554.0,2592.655274888559,16500.0,CLICK110I
GRAND FILANO,black,2563.0,2592.655274888559,48500.0,GRAND FILANO HYBRID ABS
ZOOMER-X,blue,2563.0,3069.0,42500.0,ZOOMER-X
Q-BIX,blue,2564.0,4489.0,39000.0,Q-BIX
FINO125I,black,2563.0,6035.0,34500.0,FINO125I
GRAND FILANO,black,2563.0,2592.655274888559,47000.0,GRAND FILANO HYBRID
PCX150,white,2557.0,2592.655274888559,48900.0,PCX150
GRAND FILANO,white,2561.0,2592.655274888559,47900.0,GRAND FILANO HYBRID
PCX150,black,2557.0,2592.655274888559,50900.0,PCX150
SCOOPY-I,black,2556.0,2592.655274888559,25900.0,SCOOPY-I
ZOOMER-X,red,2560.0,2592.655274888559,35900.0,ZOOMER-X
PCX150,red,2563.0,9227.0,86900.0,PCX150
CLICK125I,yellow,2563.0,2433.0,42500.0,CLICK125I
SCOOPY-I,black,2564.0,2592.655274888559,44500.0,SCOOPY-I
CLICK150I,white,2564.0,2592.655274888559,50500.0,CLICK150I
SCOOPY-I,black,2564.0,6551.0,46500.0,SCOOPY-I
GRAND FILANO,black,2563.0,2592.655274888559,55500.0,GRAND FILANO HYBRID
PCX150,blue,2562.0,2592.655274888559,81900.0,PCX150
SCOOPY-I,blue,2564.0,1646.0,45500.0,SCOOPY-I
ZOOMER-X,black,2563.0,2592.655274888559,38900.0,ZOOMER-X
SCOOPY-I,yellow,2560.0,2592.655274888559,30500.0,SCOOPY-I
SCOOPY-I,black,2564.0,3151.0,45500.0,SCOOPY-I
CLICK125I,black,2558.0,2592.655274888559,27500.0,CLICK125I
N-MAX,white,2561.0,2592.655274888559,53500.0,N-MAX
CLICK125I,black,2564.0,3561.0,49500.0,CLICK125I
ZOOMER-X,white,2563.0,7349.0,41400.0,ZOOMER-X
SCOOPY-I,blue,2561.0,2592.655274888559,35900.0,SCOOPY-I
PCX150,red,2560.0,2592.655274888559,57900.0,PCX150
PCX150,black,2562.0,2592.655274888559,81900.0,PCX150
PCX150,gray,2558.0,2592.655274888559,50900.0,PCX150
AEROX155,gray,2564.0,2592.655274888559,53900.0,AEROX155
N-MAX,gray,2564.0,2592.655274888559,81500.0,N-MAX
N-MAX,blue,2562.0,2592.655274888559,56500.0,N-MAX
ZOOMER-X,red,2559.0,2592.655274888559,33900.0,ZOOMER-X
PCX150,blue,2559.0,2592.655274888559,49900.0,PCX150
CLICK125I,red,2563.0,2592.655274888559,44500.0,CLICK125I
FINO125I,green,2564.0,4495.0,37900.0,FINO125I
PCX150,white,2561.0,2592.655274888559,78900.0,PCX150
GRAND FILANO,red,2561.0,2592.655274888559,48900.0,GRAND FILANO HYBRID
SCOOPY-I,black,2564.0,4961.0,47900.0,SCOOPY-I
AEROX155,green,2564.0,2592.655274888559,51500.0,AEROX155
PCX150,black,2563.0,2592.655274888559,85500.0,PCX150
SCOOPY-I,orange,2563.0,2592.655274888559,36500.0,SCOOPY-I
CLICK125I,blue,2558.0,2592.655274888559,35500.0,CLICK125I
SCOOPY-I,red,2564.0,3332.0,47500.0,SCOOPY-I
ZOOMER-X,white,2561.0,2592.655274888559,37500.0,ZOOMER-X
FINO125I,green,2563.0,2592.655274888559,35900.0,FINO125I
GRAND FILANO,green,2564.0,2592.655274888559,56500.0,GRAND FILANO HYBRID
FINO125I,red,2564.0,655.0,42500.0,FINO125I
GRAND FILANO,white,2563.0,5473.0,55500.0,GRAND FILANO HYBRID ABS
FILANO,yellow,2555.0,2592.655274888559,19000.0,FILANO
N-MAX,blue,2563.0,9201.0,78900.0,N-MAX
GT125,red,2564.0,9804.0,35900.0,GT125
N-MAX,white,2563.0,2592.655274888559,54000.0,N-MAX
SCOOPY-I,black,2559.0,2592.655274888559,27500.0,SCOOPY-I
CLICK125I,blue,2559.0,2592.655274888559,28500.0,CLICK125I
SCOOPY-I,white,2564.0,9828.0,44500.0,SCOOPY-I
ZOOMER-X,pink,2558.0,2592.655274888559,23900.0,ZOOMER-X
ZOOMER-X,black,2563.0,2592.655274888559,40500.0,ZOOMER-X
CLICK125,white,2563.0,2592.655274888559,41900.0,CLICK125
CLICK125,white,2561.0,2592.655274888559,40500.0,CLICK125
CLICK150I,gray,2563.0,2592.655274888559,43900.0,CLICK150I
Q-BIX125,black,2562.0,2592.655274888559,39900.0,Q-BIX125
CLICK125I,red,2560.0,2592.655274888559,32500.0,CLICK125I
AEROX155,green,2562.0,2592.655274888559,46900.0,AEROX155
N-MAX155,blue,2563.0,8432.0,78900.0,N-MAX155
N-MAX155,blue,2561.0,2592.655274888559,58900.0,N-MAX155
PCX150,red,2563.0,2592.655274888559,85500.0,PCX150
SCOOPY-I,black,2553.0,2592.655274888559,21500.0,SCOOPY I
PCX150,red,2563.0,2592.655274888559,83500.0,PCX150
FINO125I,gray,2562.0,2592.655274888559,35900.0,FINO125I
SCOOPY-I,blue,2564.0,4315.0,41900.0,SCOOPY-I
CLICK125,black,2559.0,2592.655274888559,34900.0,CLICK125
CLICK150I,black,2564.0,4005.0,51900.0,CLICK150I
GRAND FILANO,red,2561.0,2592.655274888559,38900.0,GRAND FILANO
Q-BIX,black,2564.0,1565.0,44900.0,Q-BIX
FINO125I,red,2564.0,2769.0,37500.0,FINO125I
ZOOMER-X,black,2557.0,2592.655274888559,26900.0,ZOOMER-X
Q-BIX125,red,2564.0,965.0,46500.0,Q-BIX125
SCOOPY-I,black,2559.0,2592.655274888559,28500.0,SCOOPY-I
ZOOMER-X,black,2563.0,2592.655274888559,36900.0,ZOOMER-X
CLICK125I,white,2561.0,2592.655274888559,32900.0,CLICK125I
Q-BIX125,black,2564.0,1518.0,42500.0,Q-BIX125
CLICK125I,black,2558.0,2592.655274888559,24900.0,CLICK125I
N-MAX155,red,2564.0,3651.0,79900.0,N-MAX155
PCX160,red,2564.0,9563.0,89900.0,PCX160
PCX160,red,2564.0,8567.0,89900.0,PCX160
CLICK125I,black,2558.0,2592.655274888559,27500.0,CLICK125I
SCOOPY-I,black,2564.0,2931.0,45900.0,SCOOPY-I
SCOOPY-I,blue,2564.0,3259.0,45900.0,SCOOPY-I
SCOOPY-I,white,2564.0,7738.0,47900.0,SCOOPY-I
SCOOPY-I,black,2564.0,2592.655274888559,45900.0,SCOOPY-I
FINO125I,red,2563.0,2592.655274888559,32900.0,FINO125I
ZOOMER-X,yellow,2564.0,8601.0,42900.0,ZOOMER-X
SCOOPY-I,blue,2561.0,2592.655274888559,34900.0,SCOOPY-I
ZOOMER-X,black,2557.0,2592.655274888559,23500.0,ZOOMER-X
FINO125I,blue,2559.0,2592.655274888559,28900.0,FINO125I
CLICK125I,white,2556.0,2592.655274888559,23500.0,CLICK125I
AEROX155,blue,2564.0,3245.0,52900.0,AEROX155
GRAND FILANO,yellow,2562.0,2592.655274888559,48500.0,GRAND FILANO HYBRID
GT125,blue,2563.0,2592.655274888559,33900.0,GT125
SCOOPY-I,black,2557.0,2592.655274888559,25500.0,SCOOPY-I
SCOOPY-I,pink,2557.0,2592.655274888559,25500.0,SCOOPY-I
MIO125,white,2554.0,2592.655274888559,17500.0,MIO125
CLICK125I,pink,2555.0,2592.655274888559,20500.0,CLICK125I
ZOOMER-X,white,2558.0,2592.655274888559,25500.0,ZOOMER-X
FINO125I,green,2563.0,6010.0,34900.0,FINO125I
Q-BIX,blue,2563.0,2592.655274888559,33900.0,Q-BIX
CLICK125I,red,2564.0,5798.0,41500.0,CLICK125I
ZOOMER-X,orange,2557.0,2592.655274888559,24500.0,ZOOMER-X
N-MAX,white,2562.0,2592.655274888559,54900.0,N-MAX
GT125,gray,2559.0,2592.655274888559,26900.0,GT125
CLICK110I,blue,2554.0,2592.655274888559,16900.0,CLICK110I
ZOOMER-X,black,2564.0,2592.655274888559,41900.0,ZOOMER-X
CLICK125I,blue,2557.0,2592.655274888559,21500.0,CLICK125I
PCX150,gray,2561.0,2592.655274888559,64500.0,PCX150
SCOOPY-I,black,2563.0,2592.655274888559,41500.0,SCOOPY-I
PCX150,black,2560.0,2592.655274888559,57900.0,PCX150
FINO125I,white,2564.0,2592.655274888559,35500.0,FINO125I
SCOOPY-I,blue,2562.0,2592.655274888559,38500.0,SCOOPY-I S12
CLICK125I,black,2562.0,2592.655274888559,37900.0,CLICK125I
SCOOPY-I,pink,2563.0,2592.655274888559,38500.0,SCOOPY-I
GRAND FILANO,blue,2562.0,2592.655274888559,49900.0,GRAND FILANO HYBRID ABS
SCOOPY-I,black,2554.0,2592.655274888559,19500.0,SCOOPY-I
SCOOPY-I,blue,2562.0,2592.655274888559,35900.0,SCOOPY-I S12
PCX150,black,2556.0,2592.655274888559,40500.0,PCX150
ZOOMER-X,red,2559.0,2592.655274888559,31900.0,ZOOMER-X
FINO125,blue,2560.0,2592.655274888559,26900.0,FINO125
FINO125,blue,2560.0,2592.655274888559,27900.0,FINO125
SCOOPY-I,pink,2555.0,2592.655274888559,20900.0,SCOOPY-I
GRAND FILANO,green,2564.0,6052.0,49400.0,GRAND FILANO HYBRID
CLICK150I,black,2563.0,2592.655274888559,46900.0,CLICK150I
MOOVE,white,2558.0,2592.655274888559,22900.0,MOOVE
CLICK125I,white,2564.0,5000.0,45900.0,CLICK125I
PCX150,gray,2563.0,2592.655274888559,73500.0,PCX 150
CLICK125I,red,2560.0,2592.655274888559,31500.0,CLICK125I
PCX150,red,2563.0,2592.655274888559,76900.0,PCX 150
CLICK125I,blue,2561.0,2592.655274888559,31900.0,CLICK125I
MOOVE,black,2561.0,2592.655274888559,32000.0,MOOVE
SCOOPY-I,black,2556.0,2592.655274888559,22900.0,SCOOPY-I
PCX150,black,2555.0,2592.655274888559,35500.0,PCX150
CLICK125I,black,2558.0,2592.655274888559,31900.0,CLICK125I
N-MAX155,gray,2564.0,2592.655274888559,73900.0,N-MAX155
CLICK125,red,2558.0,2592.655274888559,29500.0,CLICK125
FINO125,black,2560.0,2592.655274888559,29900.0,FINO125
SCOOPY-I,black,2558.0,2592.655274888559,28900.0,SCOOPY-I
PCX150,blue,2562.0,2592.655274888559,74500.0,PCX150
SCOOPY-I,blue,2563.0,2592.655274888559,39400.0,SCOOPY-I
CLICK125I,blue,2562.0,2592.655274888559,34900.0,CLICK125I
PCX150,gray,2563.0,7941.0,78000.0,PCX150
ZOOMER-X,blue,2558.0,2592.655274888559,28800.0,ZOOMER-X
SCOOPY-I,red,2554.0,2592.655274888559,23900.0,SCOOPY-I
SCOOPY-I,blue,2562.0,2592.655274888559,38000.0,SCOOPY-I S12
FINO125I,red,2562.0,2592.655274888559,31500.0,FINO125I
FINO,red,2557.0,2592.655274888559,23500.0,FINO
CLICK125I,red,2558.0,2592.655274888559,27500.0,CLICK125I
PCX160,gray,2564.0,9397.0,89000.0,PCX160
FINO125I,white,2562.0,5437.0,35000.0,FINO125I
GRAND FILANO,blue,2563.0,2592.655274888559,37900.0,GRAND FILANO
SCOOPY-I,red,2563.0,2592.655274888559,36000.0,SCOOPY-I
CLICK125I,white,2556.0,2592.655274888559,22500.0,CLICK125I
GRAND FILANO,red,2558.0,2592.655274888559,30500.0,GRAND FILANO
CLICK125I,black,2564.0,6.0,41400.0,CLICK125I
SCOOPY-I,pink,2557.0,2592.655274888559,23900.0,SCOOPY-I
PCX150,gray,2561.0,2592.655274888559,58500.0,PCX150
GRAND FILANO,green,2564.0,573.0,47900.0,GRAND FILANO HYBRID
ZOOMER-X,yellow,2563.0,2592.655274888559,39500.0,ZOOMER-X
PCX150,black,2555.0,2592.655274888559,36500.0,PCX150
CLICK110I,pink,2554.0,2592.655274888559,20500.0,CLICK110I
N-MAX,black,2561.0,155.0,50500.0,N-MAX
SCOOPY-I,pink,2561.0,2592.655274888559,30500.0,SCOOPY-I
ZOOMER-X,red,2563.0,5319.0,39900.0,ZOOMER-X
PCX150,black,2563.0,2592.655274888559,73000.0,PCX150
CLICK150I,gray,2564.0,2592.655274888559,44500.0,CLICK150I
PCX150,blue,2559.0,9864.0,56000.0,PCX150
ZOOMER-X,yellow,2556.0,2592.655274888559,24500.0,ZOOMER-X
GRAND FILANO,black,2564.0,2592.655274888559,46500.0,GRAND FILANO HYBRID
CLICK125I,orange,2562.0,7576.0,38000.0,CLICK125I
GRAND FILANO,gray,2562.0,2592.655274888559,49000.0,GRAND FILANO HYBRID ABS
N-MAX,blue,2563.0,2592.655274888559,79000.0,N-MAX
GRAND FILANO,red,2563.0,2592.655274888559,47500.0,GRAND FILANO HYBRID
ZOOMER-X,black,2558.0,2592.655274888559,26500.0,ZOOMER-X
PCX150,white,2560.0,2592.655274888559,55500.0,PCX150
PCX150,white,2562.0,2592.655274888559,68000.0,PCX150
PCX125,red,2553.0,2592.655274888559,29900.0,PCX125
MOOVE,white,2559.0,2592.655274888559,27500.0,MOOVE
FINO,red,2554.0,2592.655274888559,18500.0,FINO
SCOOPY-I,white,2555.0,2592.655274888559,22000.0,SCOOPY-I
CLICK125I,red,2561.0,2592.655274888559,36000.0,CLICK125I
CLICK125I,black,2559.0,2592.655274888559,31500.0,CLICK125I
PCX150,red,2561.0,2592.655274888559,64000.0,PCX150
N-MAX,blue,2562.0,2592.655274888559,55500.0,N-MAX
FINO125I,black,2563.0,2592.655274888559,34000.0,FINO125I
PCX150,white,2557.0,2592.655274888559,41000.0,PCX150
N-MAX,gray,2562.0,155.0,54000.0,N-MAX
N-MAX,black,2563.0,2592.655274888559,77500.0,N-MAX
GRAND FILANO,red,2563.0,2592.655274888559,48500.0,GRAND FILANO HYBRID
FINO125I,white,2562.0,2592.655274888559,36000.0,FINO125I
ZOOMER-X,orange,2557.0,2592.655274888559,28000.0,ZOOMER-X
CLICK125I,orange,2562.0,2592.655274888559,36500.0,CLICK125I
PCX150,black,2563.0,7360.0,76000.0,PCX150
GRAND FILANO,black,2562.0,2592.655274888559,45000.0,GRAND FILANO HYBRID
PCX150,red,2561.0,3974.0,69000.0,PCX150
GRAND FILANO,green,2559.0,2592.655274888559,34000.0,GRAND FILANO
CLICK125I,red,2558.0,2592.655274888559,31000.0,CLICK125I
CLICK125I,black,2555.0,2592.655274888559,24500.0,CLICK125I
ZOOMER-X,orange,2557.0,2592.655274888559,25000.0,ZOOMER-X
ZOOMER-X,red,2563.0,2592.655274888559,37500.0,ZOOMER-X
SCOOPY-I,blue,2562.0,6503.0,39000.0,SCOOPY-I
N-MAX,gray,2562.0,2592.655274888559,56500.0,N-MAX
SCOOPY-I,red,2556.0,2592.655274888559,23500.0,SCOOPY-I
PCX150,white,2555.0,2592.655274888559,42500.0,PCX150
GRAND FILANO,red,2562.0,2592.655274888559,43500.0,GRAND FILANO HYBRID
MIO125I,blue,2556.0,2592.655274888559,23000.0,MIO125I
PCX150,gray,2563.0,7382.0,78000.0,PCX150
CLICK125I,black,2559.0,2592.655274888559,29500.0,CLICK125I
SCOOPY-I,red,2562.0,2592.655274888559,38500.0,SCOOPY-I S12
N-MAX,blue,2562.0,2592.655274888559,56500.0,N-MAX
SCOOPY-I,black,2559.0,2592.655274888559,34500.0,SCOOPY-I
PCX150,white,2561.0,2592.655274888559,66000.0,PCX150
SCOOPY-I,black,2558.0,2592.655274888559,24500.0,SCOOPY-I
FINO,blue,2555.0,2592.655274888559,19000.0,FINO
PCX150,brown,2556.0,2592.655274888559,38900.0,PCX150
SCOOPY-I,black,2559.0,2592.655274888559,26000.0,SCOOPY-I
PCX150,white,2562.0,2592.655274888559,74000.0,PCX150
FINO,Other,2556.0,2592.655274888559,22000.0,FINO
CLICK125I,red,2559.0,2592.655274888559,29500.0,CLICK125I
FINO FI,black,2557.0,2592.655274888559,25000.0,FINO FI
SCOOPY-I,white,2559.0,2592.655274888559,29000.0,SCOOPY-I
CLICK125I,blue,2562.0,2592.655274888559,37500.0,CLICK125I
CLICK125I,blue,2561.0,2592.655274888559,37000.0,CLICK125I
N-MAX,blue,2562.0,2592.655274888559,54000.0,N-MAX
CLICK125I,blue,2561.0,2592.655274888559,33000.0,CLICK125I
Q-BIX,green,2563.0,2592.655274888559,39900.0,Q-BIX
NOUVO MX,white,2548.0,2592.655274888559,9900.0,NOUVO MX
CLICK150I,black,2563.0,5066.0,51000.0,CLICK150I
GRAND FILANO,gray,2563.0,2592.655274888559,48500.0,GRAND FILANO HYBRID ABS
N-MAX,red,2564.0,1114.0,79000.0,N-MAX
GT125,black,2559.0,2592.655274888559,29000.0,GT125
ZOOMER-X,blue,2560.0,2592.655274888559,32500.0,ZOOMER-X
ZOOMER-X,orange,2556.0,2592.655274888559,25500.0,ZOOMER-X
N-MAX,blue,2562.0,2592.655274888559,56000.0,N-MAX
MIO125I,blue,2555.0,2592.655274888559,23500.0,MIO125I
ZOOMER-X,yellow,2558.0,2592.655274888559,29000.0,ZOOMER-X
PCX150,black,2555.0,2592.655274888559,42000.0,PCX150
CLICK125I,red,2561.0,8132.0,39500.0,CLICK125I
CLICK125I,blue,2563.0,2592.655274888559,37000.0,CLICK125I
GRAND FILANO,black,2562.0,2592.655274888559,44000.0,GRAND FILANO HYBRID
SCOOPY-I,white,2558.0,2592.655274888559,25000.0,SCOOPY-I
SCOOPY-I,white,2560.0,2592.655274888559,29500.0,SCOOPY-I
N-MAX,white,2563.0,3762.0,61000.0,N-MAX
SCOOPY-I,white,2558.0,2592.655274888559,25000.0,SCOOPY-I
GT125,black,2558.0,2592.655274888559,29000.0,GT125
FORZA300,gray,2562.0,2592.655274888559,110000.0,FORZA300
PCX150,black,2563.0,7466.0,76000.0,PCX150
CLICK125I,white,2563.0,2592.655274888559,37500.0,CLICK125I
N-MAX,white,2562.0,2592.655274888559,57000.0,N-MAX
CLICK125I,red,2562.0,2592.655274888559,38500.0,CLICK125I
CLICK110I,blue,2550.0,2592.655274888559,14000.0,CLICK110I
CLICK125I,black,2557.0,2592.655274888559,23000.0,CLICK125I
SCOOPY-I,red,2561.0,9276.0,37500.0,SCOOPY-I S12
SCOOPY-I,blue,2562.0,2592.655274888559,36000.0,SCOOPY-I
SCOOPY-I,blue,2563.0,2592.655274888559,38000.0,SCOOPY-I
ZOOMER-X,white,2562.0,2592.655274888559,37500.0,ZOOMER-X
GRAND FILANO,black,2560.0,2592.655274888559,34500.0,GRAND FILANO
CLICK125I,red,2558.0,2592.655274888559,27000.0,CLICK125I
PCX150,gray,2563.0,4610.0,77000.0,PCX150
PCX150,white,2563.0,2592.655274888559,75000.0,PCX150
SCOOPY-I,white,2556.0,2592.655274888559,23500.0,SCOOPY-I
ZOOMER-X,black,2562.0,2592.655274888559,36500.0,ZOOMER-X
SCOOPY-I,black,2563.0,2592.655274888559,41500.0,SCOOPY-I
SCOOPY-I,black,2561.0,2592.655274888559,39500.0,SCOOPY-I
MIO125I,black,2556.0,2592.655274888559,24500.0,MIO125I
GT125,black,2562.0,9111.0,33000.0,GT125
GT125,blue,2563.0,7255.0,33500.0,GT125
GRAND FILANO,blue,2560.0,2592.655274888559,36000.0,GRAND FILANO
Q-BIX,white,2560.0,2592.655274888559,31000.0,Q-BIX
PCX150,blue,2562.0,2592.655274888559,70500.0,PCX150
CLICK150I,white,2563.0,3935.0,51500.0,CLICK150I
PCX150,gray,2561.0,2592.655274888559,59500.0,PCX150
CLICK125I,red,2558.0,2592.655274888559,29000.0,CLICK125I
GRAND FILANO,Other,2558.0,2592.655274888559,35500.0,GRAND FILANO
CLICK125I,blue,2562.0,2592.655274888559,38500.0,CLICK125I
N-MAX,gray,2562.0,2592.655274888559,53000.0,N-MAX
FINO125,gray,2563.0,2592.655274888559,32500.0,FINO125
PCX150,black,2560.0,2592.655274888559,54000.0,PCX150
CLICK125I,blue,2562.0,2592.655274888559,38500.0,CLICK125I
FINO FI,white,2559.0,2592.655274888559,25000.0,FINO FI
N-MAX,black,2564.0,2592.655274888559,73000.0,N-MAX
CLICK,white,2550.0,2592.655274888559,12500.0,CLICK
MIO125I,black,2557.0,2592.655274888559,25000.0,MIO125I
GT125,blue,2563.0,2592.655274888559,32500.0,GT125
ZOOMER-X,white,2562.0,2592.655274888559,36500.0,ZOOMER-X
ZOOMER-X,red,2563.0,4408.0,42500.0,ZOOMER-X
N-MAX,black,2562.0,2592.655274888559,55500.0,N-MAX
CLICK125I,black,2555.0,2592.655274888559,24500.0,CLICK125I
CLICK125I,black,2560.0,2592.655274888559,34000.0,CLICK125I
CLICK125I,blue,2561.0,2592.655274888559,34000.0,CLICK125I
SCOOPY-I,black,2560.0,2592.655274888559,28500.0,SCOOPY-I
CLICK125I,red,2559.0,2592.655274888559,34000.0,CLICK125I
GRAND FILANO,blue,2561.0,2592.655274888559,34500.0,GRAND FILANO
PCX150,red,2559.0,2592.655274888559,51500.0,PCX150
CLICK125I,blue,2562.0,5791.0,38500.0,CLICK125I
Q-BIX,blue,2562.0,2510.0,39900.0,Q-BIX
ZOOMER-X,black,2562.0,2592.655274888559,35000.0,ZOOMER-X
CLICK125I,black,2560.0,2592.655274888559,36000.0,CLICK125I
SCOOPY-I,blue,2562.0,4375.0,37500.0,SCOOPY-I
N-MAX,white,2563.0,2592.655274888559,52000.0,N-MAX
SCOOPY-I,orange,2558.0,2592.655274888559,25000.0,SCOOPY-I
SCOOPY-I,gray,2558.0,2592.655274888559,28000.0,SCOOPY-I
FORZA300,blue,2560.0,2592.655274888559,79000.0,FORZA300
GT125,black,2559.0,2592.655274888559,24000.0,GT125
SCOOPY-I,red,2555.0,2592.655274888559,25000.0,SCOOPY-I
FINO,black,2556.0,2592.655274888559,18000.0,FINO
SCOOPY-I,black,2555.0,2592.655274888559,23000.0,SCOOPY-I
FINO125I,black,2562.0,2592.655274888559,33000.0,FINO125I
ZOOMER-X,black,2556.0,2592.655274888559,25000.0,ZOOMER-X
SCOOPY-I,black,2562.0,2592.655274888559,34000.0,SCOOPY-I
CLICK110I,blue,2551.0,2592.655274888559,15000.0,CLICK110I
FINO125I,red,2562.0,2592.655274888559,31500.0,FINO125I
N-MAX,red,2563.0,2592.655274888559,53500.0,N-MAX
SCOOPY-I,red,2560.0,2592.655274888559,27000.0,SCOOPY-I
CLICK110I,white,2554.0,2592.655274888559,18500.0,CLICK110I
PCX150,black,2559.0,2592.655274888559,53000.0,PCX150
SCOOPY-I,black,2563.0,9073.0,35000.0,SCOOPY-I
ZOOMER-X,white,2561.0,2592.655274888559,35000.0,ZOOMER-X
SCOOPY-I,black,2562.0,2592.655274888559,36000.0,SCOOPY-I
PCX150,white,2562.0,6093.0,69000.0,PCX150
N-MAX,blue,2563.0,2592.655274888559,53500.0,N-MAX
PCX150,blue,2563.0,2592.655274888559,69000.0,PCX150
FINO FI,white,2556.0,2592.655274888559,21500.0,FINO FI
SCOOPY-I,pink,2554.0,2592.655274888559,21000.0,SCOOPY-I
CLICK125I,black,2561.0,6348.0,38500.0,CLICK125I
SCOOPY-I,yellow,2559.0,2592.655274888559,29000.0,SCOOPY-I
ZOOMER-X,blue,2558.0,2592.655274888559,32000.0,ZOOMER-X
SCOOPY-I,blue,2558.0,2592.655274888559,29000.0,SCOOPY-I
SCOOPY-I,blue,2560.0,2592.655274888559,31000.0,SCOOPY-I
SCOOPY-I,pink,2555.0,2592.655274888559,20000.0,SCOOPY-I
SCOOPY-I,white,2554.0,2592.655274888559,19000.0,SCOOPY-I
FORZA300,black,2557.0,2592.655274888559,75000.0,FORZA300
CLICK125I,blue,2556.0,2592.655274888559,20000.0,CLICK125I
SCOOPY-I,red,2553.0,2592.655274888559,19500.0,SCOOPY-I
ZOOMER-X,blue,2558.0,2592.655274888559,34000.0,ZOOMER-X
CLICK125I,black,2558.0,2592.655274888559,30500.0,CLICK125I
FINO,black,2554.0,2592.655274888559,16500.0,FINO
SCOOPY-I,white,2562.0,2592.655274888559,36000.0,SCOOPY-I
GRAND FILANO,red,2561.0,2592.655274888559,36000.0,GRAND FILANO
SCOOPY-I,blue,2562.0,2592.655274888559,38000.0,SCOOPY-I
PCX150,blue,2561.0,2592.655274888559,59000.0,PCX150
SCOOPY-I,blue,2554.0,2592.655274888559,20000.0,SCOOPY-I
N-MAX,blue,2562.0,2592.655274888559,55000.0,N-MAX
GT125,yellow,2561.0,8459.0,27000.0,GT125
SCOOPY-I,blue,2562.0,7310.0,36000.0,SCOOPY-I
SCOOPY-I,blue,2562.0,2592.655274888559,35000.0,SCOOPY-I
SCOOPY-I,blue,2563.0,2592.655274888559,37500.0,SCOOPY-I
CLICK125I,white,2560.0,2592.655274888559,34000.0,CLICK125I
SCOOPY-I,pink,2555.0,2592.655274888559,21000.0,SCOOPY-I
GRAND FILANO,red,2563.0,7832.0,47500.0,GRAND FILANO HYBRID
GT125,black,2558.0,2592.655274888559,21500.0,GT125
SCOOPY-I,black,2554.0,2592.655274888559,20000.0,SCOOPY-I
GRAND FILANO,red,2560.0,2592.655274888559,37000.0,GRAND FILANO
PCX150,white,2562.0,2592.655274888559,68000.0,PCX150
CLICK125I,white,2560.0,2592.655274888559,36500.0,CLICK125I
SCOOPY-I,pink,2555.0,2592.655274888559,20000.0,SCOOPY-I
SCOOPY-I,gray,2561.0,2592.655274888559,36000.0,SCOOPY-I
Q-BIX,yellow,2562.0,5058.0,39000.0,Q-BIX
ZOOMER-X,black,2561.0,2592.655274888559,33500.0,ZOOMER-X
CLICK110I,black,2552.0,2592.655274888559,17000.0,CLICK110I
PCX150,black,2557.0,2592.655274888559,44000.0,PCX150
N-MAX,blue,2563.0,8530.0,56500.0,N-MAX
PCX150,gray,2557.0,2592.655274888559,50000.0,PCX150
FINO,gray,2556.0,2592.655274888559,20500.0,FINO
GRAND FILANO,gray,2562.0,2592.655274888559,39500.0,GRAND FILANO
CLICK110I,black,2552.0,2592.655274888559,15500.0,CLICK110I
CLICK125I,white,2556.0,2592.655274888559,25000.0,CLICK125I
SCOOPY-I,blue,2558.0,2592.655274888559,28000.0,SCOOPY-I
CLICK125I,blue,2562.0,2592.655274888559,36500.0,CLICK125I
ZOOMER-X,blue,2557.0,2592.655274888559,26000.0,ZOOMER-X
PCX150,red,2555.0,2592.655274888559,35000.0,PCX150
FINO,red,2554.0,2592.655274888559,19000.0,FINO
FINO,Other,2556.0,2592.655274888559,20500.0,FINO
PCX150,gray,2558.0,2592.655274888559,54000.0,PCX 150
SCOOPY-I,yellow,2560.0,2592.655274888559,32000.0,SCOOPY I
FINO FI,black,2556.0,2592.655274888559,23000.0,FINO FI
SCOOPY-I,red,2554.0,2592.655274888559,21000.0,SCOOPY-I
CLICK125I,black,2555.0,2592.655274888559,23500.0,CLICK125I
CLICK125I,blue,2558.0,2592.655274888559,34000.0,CLICK125I
GRAND FILANO,blue,2562.0,2592.655274888559,45000.0,GRAND FILANO HYBRID ABS
CLICK110I,black,2552.0,2592.655274888559,20000.0,CLICK110I
CLICK110I,white,2554.0,2592.655274888559,22000.0,CLICK110I
CLICK125I,blue,2559.0,2592.655274888559,35000.0,CLICK125I
CLICK125I,black,2556.0,2592.655274888559,25000.0,CLICK125I
QBIX,black,2560.0,2592.655274888559,29900.0,QBIX
