Motorcycle,Color,Year,Mileage,Price,MotorcycleStrip
CLICK125I,red,2555.0,2592.655274888559,24500.0,CLICK 125I
PCX150,black,2557.0,2592.655274888559,36000.0,PCX150
ZOOMER-X,black,2556.0,2592.655274888559,25500.0,ZOOMER-X
PCX150,gray,2558.0,2592.655274888559,47500.0,PCX 150
ZOOMER-X,red,2561.0,2592.655274888559,37000.0,ZOOMER-X
ZOOMER-X,orange,2558.0,2592.655274888559,28000.0,ZOOMER-X
ZOOMER-X,blue,2560.0,2592.655274888559,31000.0,ZOOMER-X
SCOOPY-I,blue,2562.0,1.0,38000.0,SCOOPY I
CLICK125I,red,2556.0,2592.655274888559,24000.0,CLICK 125I
FINO,orange,2551.0,2592.655274888559,16500.0,FINO
FINO FI,blue,2556.0,2592.655274888559,22000.0,FINO FI
CLICK125I,blue,2558.0,2592.655274888559,28500.0,CLICK125I
GRAND FILANO,black,2562.0,3000.0,47000.0,GRAND FILANO HYBRID
PCX125,brown,2553.0,2592.655274888559,27000.0,PCX125
SCOOPY-I,white,2555.0,2592.655274888559,23000.0,SCOOPY I
SCOOPY-I,red,2554.0,2592.655274888559,20000.0,SCOOPY I
MOOVE,blue,2558.0,2592.655274888559,28000.0,MOOVE
SCOOPY-I,white,2556.0,2592.655274888559,25000.0,SCOOPY I
SCOOPY-I,blue,2557.0,2592.655274888559,25000.0,SCOOPY I
SCOOPY-I,black,2553.0,2592.655274888559,21000.0,SCOOPY I
ZOOMER-X,white,2556.0,2592.655274888559,25000.0,ZOOMER-X
FINO,black,2556.0,2592.655274888559,20000.0,FINO
GRAND FILANO,white,2559.0,2592.655274888559,30000.0,GRAND FILANO
FINO PS,white,2556.0,2592.655274888559,20000.0,FINO PS
FINO,white,2553.0,2592.655274888559,18000.0,FINO
FINO,black,2554.0,2592.655274888559,18000.0,FINO
CLICK125I,blue,2557.0,2592.655274888559,25500.0,CLICK125I
CLICK125I,white,2559.0,2592.655274888559,28000.0,CLICK125I
PCX150,black,2555.0,2592.655274888559,37000.0,PCX150
PCX150,red,2559.0,2592.655274888559,58000.0,PCX150
CLICK,Other,2550.0,2592.655274888559,12500.0,CLICK
ZOOMER-X,black,2556.0,2592.655274888559,25500.0,ZOOMER-X
PCX150,red,2560.0,2592.655274888559,58000.0,PCX150
ZOOMER-X,pink,2557.0,2592.655274888559,26000.0,ZOOMER-X
