id,CarName,YEAR,COLOR,mileage,price,list_name
4538,PCX150 ,2563,สีแดงแจ่มๆ,9227,86900.0,category-มอเตอร์ไซค์ AUTO
4582,CLICK125I ,2563,สีเหลืองสวยๆ,2433,42500.0,category-มอเตอร์ไซค์ AUTO
4527,SCOOPY-I ,2564,สีดำสวยๆ,,44500.0,category-มอเตอร์ไซค์ AUTO
4541,CLICK150I ,2564,สีขาวแดงสวยๆ,,50500.0,category-มอเตอร์ไซค์ AUTO
4531,SCOOPY-I ,2564,สีดำเท่ๆ,6551,46500.0,category-มอเตอร์ไซค์ AUTO
4571, GRAND FILANO HYBRID ,2563,สีดำเท่ๆ,,55500.0,category-มอเตอร์ไซค์ AUTO
4534,PCX150 ,2562,สีน้ำเงินเท่ๆ,,81900.0,category-มอเตอร์ไซค์ AUTO
4594,SCOOPY-I ,2564,สีน้ำเงินเท่ๆ,1646,45500.0,category-มอเตอร์ไซค์ AUTO
4586,ZOOMER-X ,2563,สีดำเท่ๆ,,38900.0,category-มอเตอร์ไซค์ AUTO
4573,SCOOPY-I ,2560,สีเหลืองแจ่มๆ,,30500.0,category-มอเตอร์ไซค์ AUTO
4593,SCOOPY-I ,2564,สีดำเท่ๆ,3151,45500.0,category-มอเตอร์ไซค์ AUTO
4580,CLICK125I ,2558,สีดำชมพูสวยๆ,,27500.0,category-มอเตอร์ไซค์ AUTO
4567,N-MAX ,2561,สีขาวคลีนๆ,,53500.0,category-มอเตอร์ไซค์ AUTO
4511,CLICK125I ,2564,สีดำเท่ๆ,3561,49500.0,category-มอเตอร์ไซค์ AUTO
4312,ZOOMER-X ,2563,สีขาวสวยๆ,7349,41400.0,category-มอเตอร์ไซค์ AUTO
4524,SCOOPY-I ,2561,สีน้ำเงินสวยหรู,,35900.0,category-มอเตอร์ไซค์ AUTO
4572,PCX150 ,2560,สีแดงดำแจ่มๆ,,57900.0,category-มอเตอร์ไซค์ AUTO
4516,PCX150 ,2562,สีดำเท่ๆ,,81900.0,category-มอเตอร์ไซค์ AUTO
4566,PCX150 ,2558,สีเทาเท่ๆ,,50900.0,category-มอเตอร์ไซค์ AUTO
4555,AEROX155 ,2564,สีเทาสวยๆ,,53900.0,category-มอเตอร์ไซค์ AUTO
4554,N-MAX ,2564,สีเทาเท่ๆ,,81500.0,category-มอเตอร์ไซค์ AUTO
4556,N-MAX ,2562,สีน้ำเงินเท่ๆ,,56500.0,category-มอเตอร์ไซค์ AUTO
4557,ZOOMER-X ,2559,สีแดงสวยๆ,,33900.0,category-มอเตอร์ไซค์ AUTO
4470,PCX150 ,2559,สีน้ำเงินเท่,,49900.0,category-มอเตอร์ไซค์ AUTO
4537,  CLICK125I ,2563,สีแดงสวยๆ,,44500.0,category-มอเตอร์ไซค์ AUTO
4562,FINO125I ,2564,สีเขียวสวยๆ,4495,37900.0,category-มอเตอร์ไซค์ AUTO
4519,PCX150 ,2561,สีขาวคลีนๆ,,78900.0,category-มอเตอร์ไซค์ AUTO
4525, GRAND FILANO HYBRID ,2561,สีแดงสวยๆ,,48900.0,category-มอเตอร์ไซค์ AUTO
4512,SCOOPY-I ,2564,สีดำสวยๆ,4961,47900.0,category-มอเตอร์ไซค์ AUTO
4497, AEROX155 ,2564,สีเขียวสวยๆ,,51500.0,category-มอเตอร์ไซค์ AUTO
4530,PCX150 ,2563,สีดำสวยๆ,,85500.0,category-มอเตอร์ไซค์ AUTO
4028,SCOOPY-I ,2563,สีส้มสวยๆ,,36500.0,category-มอเตอร์ไซค์ AUTO
4532,CLICK125I ,2558,สีน้ำเงินท่ๆ,,35500.0,category-มอเตอร์ไซค์ AUTO
4520,SCOOPY-I ,2564,สีแดงแจ่มๆ,3332,47500.0,category-มอเตอร์ไซค์ AUTO
4539,ZOOMER-X ,2561,สีขาวสวยๆ,,37500.0,category-มอเตอร์ไซค์ AUTO
4522,FINO125I ,2563,สีเขียวสวยๆ,,35900.0,category-มอเตอร์ไซค์ AUTO
4533,GRAND FILANO HYBRID ,2564,สีเขียวสวยๆ,,56500.0,category-มอเตอร์ไซค์ AUTO
4535,FINO125I ,2564,สีแดงสวยๆ,655,42500.0,category-มอเตอร์ไซค์ AUTO
4547,GRAND FILANO HYBRID ABS ,2563,สีขาวสวยหรู,5473,55500.0,category-มอเตอร์ไซค์ AUTO
4191,VESPA GTS 300 ABS ,2561,สีขาวสวยๆ,,109900.0,category-มอเตอร์ไซค์ AUTO
4189,FILANO ,2555,สีเหลืองสวยๆ,,19000.0,category-มอเตอร์ไซค์ AUTO
4536,N-MAX ,2563,สีน้ำเงินเท่ๆ,9201,78900.0,category-มอเตอร์ไซค์ AUTO
4481,GT125 ,2564,สีแดงสวยๆ,9804,35900.0,category-มอเตอร์ไซค์ AUTO
4181,N-MAX ,2563,สีขาวสวยๆ,,54000.0,category-มอเตอร์ไซค์ AUTO
4180,SCOOPY-I ,2559,สีดำน้ำเงินเท่ๆ,,27500.0,category-มอเตอร์ไซค์ AUTO
4463,CLICK125I ,2559,สีน้ำเงินเท่ๆ,,28500.0,category-มอเตอร์ไซค์ AUTO
4495,SCOOPY-I ,2564,สีขาวชมพูหวานๆ,9828,44500.0,category-มอเตอร์ไซค์ AUTO
4528,ZOOMER-X ,2558,สีชมพูสวยๆ,,23900.0,category-มอเตอร์ไซค์ AUTO
4502,ZOOMER-X ,2563,สีดำเท่ๆ,,40500.0,category-มอเตอร์ไซค์ AUTO
4438, CLICK125 ,2563,สีขาวสวยๆ,,41900.0,category-มอเตอร์ไซค์ AUTO
4442,ADV150 ,2563,สีแดงแจ่มๆ,,69900.0,category-มอเตอร์ไซค์ AUTO
4506,CLICK125 ,2561,สีขาวสวยๆ,,40500.0,category-มอเตอร์ไซค์ AUTO
4505,CLICK150I ,2563,สีเทาสวยๆ,,43900.0,category-มอเตอร์ไซค์ AUTO
4458,Q-BIX125 ,2562,สีดำเท่ๆ,,39900.0,category-มอเตอร์ไซค์ AUTO
4493,CLICK125I ,2560,สีแดงเท่ๆ,,32500.0,category-มอเตอร์ไซค์ AUTO
4514,FINO110 ,2553,สีดำชมพูสวยๆ,,16900.0,category-มอเตอร์ไซค์ AUTO
4507,CLICK110 ,2554,สีขาวสวยๆ,,18500.0,category-มอเตอร์ไซค์ AUTO
4490,AEROX155 ,2562,สีเขียวสวยๆ,,46900.0,category-มอเตอร์ไซค์ AUTO
4469,N-MAX155 ,2563,สีน้ำเงินสวยๆ,8432,78900.0,category-มอเตอร์ไซค์ AUTO
4466,N-MAX155 ,2561,สีน้ำเงินเท่ๆ,,58900.0,category-มอเตอร์ไซค์ AUTO
4477,PCX150 ,2563,สีแดงสวยๆ,,85500.0,category-มอเตอร์ไซค์ AUTO
4480,SCOOPY I ,2553,สีดำเท่ๆ,,21500.0,category-มอเตอร์ไซค์ AUTO
4486,PCX150 ,2563,สีแดงเท่ๆ,,83500.0,category-มอเตอร์ไซค์ AUTO
4485,FINO125I ,2562,สีเทาเท่ๆ,,35900.0,category-มอเตอร์ไซค์ AUTO
4462,SCOOPY-I ,2564,สีน้ำเงินเท่ๆ,4315,41900.0,category-มอเตอร์ไซค์ AUTO
4474,CLICK125 ,2559,สีดำแดงสวยๆ,,34900.0,category-มอเตอร์ไซค์ AUTO
4478,CLICK150i ,2564,สีดำเท่ๆ,4005,51900.0,category-มอเตอร์ไซค์ AUTO
4461,GRAND FILANO ,2561,สีแดงเท่ๆ,,38900.0,category-มอเตอร์ไซค์ AUTO
4238,Q-BIX ,2564,สีดำแดงสวยๆ,1565,44900.0,category-มอเตอร์ไซค์ AUTO
4349,FINO125I ,2564,สีแดงขาวสวยๆ,2769,37500.0,category-มอเตอร์ไซค์ AUTO
4399,ZOOMER-X ,2557,สีดำเท่ๆ,,26900.0,category-มอเตอร์ไซค์ AUTO
